"Carimbo de data/hora","Li o Termo de Consentimento Livre Esclarecido e concordo:","Você reside em qual munícipio?","Em que faixa de idade você se encontra?","Qual seu gênero?","Qual sua escolaridade?","Você segue alguma religião?","Por onde se informa mais? ","Tem interesse em política?","Se considera mais de:","Quando falamos em Esquerda, qual dessas afirmações faz mais sentido para você?","Quando falamos em Direita, qual dessas afirmações faz mais sentido para você?","Você apoia a existência de sindicatos?","Você apoia o direito de greve trabalhista?","O governo deve usar agentes da lei para acabar com manifestações?","O regime militar deveria voltar?","Leis devem ser sempre obedecidas (sendo elas justas ou não)?","O governo deve poder proibir a existência de algum partido político?","No capitalismo, quem se esforça sempre é recompensado?","No socialismo, todos os problemas sociais são sanados?","Você é contra o aborto, sendo a situação prevista ou não em lei?","É a favor do desarmamento civil, especialmente em centros urbanos?","As grandes fortunas (investimentos e bens acima de 20 milhões de reais) devem ser taxadas e, com essa arrecadação, investir em melhorias para a população?","Toda pessoa deveria ter direito à saúde de graça e com qualidade, oferecida pelo governo?","Você considera a família como união de duas ou mais pessoas, independentemente do gênero destas?"
"2023/01/21 10:22:20 AM GMT-3","SIM, aceito participar da pesquisa.","Brasília ","36-42","Feminino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:23:07 AM GMT-3","SIM, aceito participar da pesquisa.","São Bernardo do Campo","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Esquerda","Ser oposição ao governo","É apoiar o governo","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:26:29 AM GMT-3","SIM, aceito participar da pesquisa.","RIO DE JANEIRO ","25-35","Feminino","Graduação completa","Sim e não sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Centro-Direita","Ser oposição ao governo","É apoiar o governo","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo plenamente","Não","Não","Não","Sim","Sim"
"2023/01/21 10:27:27 AM GMT-3","SIM, aceito participar da pesquisa.","Itapevi","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:29:04 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","mais de 65","Feminino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Concordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:29:48 AM GMT-3","SIM, aceito participar da pesquisa.","São Carlos - SP ","25-35","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Não","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:31:11 AM GMT-3","SIM, aceito participar da pesquisa.","Sao paulo","36-42","Masculino","Pós-graduação completa","Sim e não sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:32:44 AM GMT-3","SIM, aceito participar da pesquisa.","Curitiba ","43-50","Masculino","Pós-graduação completa","Sim e sou praticante","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Não","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Concordo parcialmente","Discordo parcialmente","Sim","Sim","Sim","Sim","Não"
"2023/01/21 10:34:49 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:36:34 AM GMT-3","SIM, aceito participar da pesquisa.","jundiai","36-42","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Direita","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Não","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Concordo parcialmente","Discordo parcialmente","Não","Sim","Não","Sim","Sim"
"2023/01/21 10:41:35 AM GMT-3","SIM, aceito participar da pesquisa.","Mandaguari - PR","25-35","Masculino","Graduação completa","Sim e sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Discordo parcialmente","Sim","Sim","Sim","Sim","Sim"
"2023/01/21 10:43:13 AM GMT-3","SIM, aceito participar da pesquisa.","Curitiba ","25-35","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Direita","É ser errado de acordo com minha noção de ética","É o certo de acordo com minha noção de ética","Não","Não","Não, qualquer manifestação do povo é válida e não deve ser interrompida pelo governo","Não","Não sempre, pois acho que tenho o direito de não cumprir caso não concorde","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo plenamente","Sim","Não","Não","Não","Não"
"2023/01/21 10:44:47 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","36-42","Masculino","Graduação completa","Sim e não sou praticante","Televisão","Sim, me interesso por política","Não sei me definir","Ser oposição ao governo","É apoiar o governo","Não","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:48:18 AM GMT-3","SIM, aceito participar da pesquisa.","Cosmópolis","43-50","Masculino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Direita","É ser errado de acordo com minha noção de ética","Defender pautas sociais / interesses dos trabalhadores","Não","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Sim","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo plenamente","Discordo plenamente","Sim","Não","Sim","Sim","Sim"
"2023/01/21 10:53:48 AM GMT-3","SIM, aceito participar da pesquisa.","Campinas","43-50","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Direita","É ser errado de acordo com minha noção de ética","Liberalismo econômico e político","Não","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Sim","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Concordo plenamente","Discordo plenamente","Sim","Não","Sim","Sim","Sim"
"2023/01/21 10:55:18 AM GMT-3","SIM, aceito participar da pesquisa.","Sorocaba","25-35","Feminino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 10:56:59 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","25-35","Feminino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","É indiferente para mim","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 11:00:10 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","36-42","Feminino","Pós-graduação completa","Sim e não sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","É indiferente para mim","Centro-Direita","Socialismo / Comunismo","É defender os interesses da elite do país","Não","Não","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, sempre que julgar necessário","Discordo parcialmente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 11:06:19 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","36-42","Feminino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","É indiferente para mim","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Não","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo parcialmente","Discordo plenamente","Não","Sim","Não","Sim","Sim"
"2023/01/21 11:07:03 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí ","43-50","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Concordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 11:09:37 AM GMT-3","SIM, aceito participar da pesquisa.","São Paulo ","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","É indiferente para mim","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Não sempre, pois acho que tenho o direito de não cumprir caso não concorde","Sim, se a ideologia desse partido ferir direitos humanos","Não concordo nem discordo","Não concordo nem discoro","Não","Não","Sim","Sim","Sim"
"2023/01/21 11:10:28 AM GMT-3","SIM, aceito participar da pesquisa.","Osasco","36-42","Feminino","Pós-graduação completa","Sim e sou praticante","Mídias sociais (Facebook, Instagram, Twitter, grupos de Whatsapp, Telegram, etc)","Sim, me interesso por política","Direita","Socialismo / Comunismo","Liberalismo econômico e político","Não","Não","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Concordo parcialmente","Discordo plenamente","Não","Não","Sim","Sim","Sim"
"2023/01/21 11:11:13 AM GMT-3","SIM, aceito participar da pesquisa.","Santo Andrey","25-35","Masculino","Graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Socialismo / Comunismo","É defender os interesses da elite do país","Sim.","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Sim, se a ideologia desse partido ferir direitos humanos","Discordo plenamente","Concordo parcialmente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 11:12:53 AM GMT-3","SIM, aceito participar da pesquisa.","JUNDIAÍ","25-35","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","Sim, me interesso por política","Esquerda","Defender pautas sociais / interesses dos menos favorecidos","É defender os interesses da elite do país","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo plenamente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 11:13:35 AM GMT-3","SIM, aceito participar da pesquisa.","Jundiaí","25-35","Masculino","Pós-graduação completa","Não sigo nenhuma em específico","Jornal e/ou revista digitais","É indiferente para mim","Centro-Esquerda","Defender pautas sociais / interesses dos menos favorecidos","Liberalismo econômico e político","Sim.","Sim","Sim, somente em caso de manifestações contra a democracia","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo plenamente","Discordo plenamente","Não","Sim","Sim","Sim","Sim"
"2023/01/21 11:15:59 AM GMT-3","SIM, aceito participar da pesquisa.","Valinhos","36-42","Feminino","Pós-graduação completa","Sim e sou praticante","Televisão","Sim, me interesso por política","Não sei me definir","Socialismo / Comunismo","É defender os interesses da elite do país","Não","Sim","Não, há manifestações pacíficas que devem ser respeitadas","Não","Sim, sempre. Caso eu não concordasse, cumpriria mas acionaria os termos legais.","Não. O Estado não deveria interferir nisso","Discordo parcialmente","Discordo parcialmente","Sim","Sim","Sim","Sim","Sim"
